Module,Domain,Module Title,Topic,Question,Answer
M1,D1,Foundations & The Agentic Loop,Foundations,What is a code harness (agentic harness)?,"The system that wraps an LLM with prompts, tools, and execution environments — turning a raw model into an agent that can take actions and run workflows."
M1,D1,Foundations & The Agentic Loop,Foundations,What is an agentic coding tool / coding agent?,"Software that reads your codebase, edits files, runs commands, and integrates with your dev tools. Available in terminal, IDE, desktop app, and browser."
M1,D1,Foundations & The Agentic Loop,Foundations,What is Claude Code?,"Anthropic's agentic coding tool: reads the codebase, edits files, runs commands, integrates with dev tools, and acts as an MCP client. The canonical code harness."
M1,D1,Foundations & The Agentic Loop,Foundations,What does `init` do in Claude Code?,Scans the codebase for architecture and style and writes a CLAUDE.md that is auto-included as context on future requests. Use `#` to append notes to memory.
M1,D1,Foundations & The Agentic Loop,Agentic Loop,What is the agentic loop?,"A continuous cycle: Gather Context → Take Action → Verify Results → repeat, until the goal is met. The model self-reflects after each step and can be interrupted."
M1,D1,Foundations & The Agentic Loop,Agentic Loop,What does the agentic loop stop on?,"It stops only when the goal is met (signalled by stop_reason end_turn) — not on an arbitrary iteration cap, which is only a safety net."
M1,D1,Foundations & The Agentic Loop,Models,What is the model selection framework?,Intelligence priority → Opus; Speed priority → Haiku; Balanced → Sonnet. Pick on task complexity vs cost/speed.
M1,D1,Foundations & The Agentic Loop,Models,What do the opusplan and sonnet[1m] aliases mean?,"opusplan = Opus for planning, Sonnet for execution. sonnet[1m] = Sonnet with a large 1M-token context for long sessions."
M1,D1,Foundations & The Agentic Loop,Auth,"Why must the Claude API key live on your server, not the client?",Clients send text to your server; your server holds the key and calls Anthropic. Direct client→Anthropic calls leak the secret key. Token from platform.claude.com.
M1,D1,Foundations & The Agentic Loop,Stop Reason,"What does stop_reason ""tool_use"" mean and what do you do?","Claude wants to call a function. Your program runs it, appends a tool_result (user role) referencing the tool_use_id, and calls Claude again."
M1,D1,Foundations & The Agentic Loop,Stop Reason,"What does stop_reason ""end_turn"" mean?",Claude has decided to return a final result. Break the loop and return the answer to the user.
M1,D1,Foundations & The Agentic Loop,Stop Reason,Where does a tool_result go and what must it reference?,"In a user-role message, referencing the matching tool_use_id from the original request. Re-send full history each turn — the API is stateless."
M1,D1,Foundations & The Agentic Loop,Decision Making,What are the three decision-making styles?,"Pre-configured (you hardcode flow with if/else or state machines), Model-driven (give tools + goal, Claude decides), Hub-and-spoke (a coordinator controls subagents)."
M1,D1,Foundations & The Agentic Loop,Anti-patterns,What are the agentic loop anti-patterns?,Don't parse natural language for control; don't stop on text content; don't use an iteration cap as the primary stop. Always use stop_reason; cap = safety only.
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Hub-and-spoke,"In hub-and-spoke orchestration, what is the coordinator?",The central brain (hub) through which all subagents route. It holds the full picture; subagents do not.
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Hub-and-spoke,"In hub-and-spoke, how do subagents communicate with each other?",They don't. Subagents never talk directly and share no context — everything routes through the coordinator.
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Hub-and-spoke,What is the coordinator's three-phase lifecycle?,Decompose the goal into subtasks → delegate to isolated subagents → aggregate results into one response.
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Hub-and-spoke,What happens in the coordinator's aggregation step?,"It merges the subagents' results, resolves conflicts, and produces a single coherent response."
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Hub-and-spoke,How does the coordinator decide single vs sequential vs parallel agents?,By task complexity: simple → single; dependent steps → sequential; independent slices → parallel.
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Decomposition,Why is too-narrow task decomposition dangerous?,"It misses important dimensions, and because subagents have isolated context, none of them can detect the gap."
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Decomposition,Whose responsibility is full coverage in a multi-agent system?,The coordinator's — subagents only see their slice and cannot notice missing perspectives.
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Decomposition,How does the coordinator avoid narrow decomposition?,"Expand tasks to cover all perspectives before delegating, ask ""what's missing?"", add subtasks, validate, and gap-check before the final answer."
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Decomposition,Where can the coordinator validate its decomposition?,"Up front with a review tool on the plan, and again during aggregation as a final gap-check."
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Selection,What is Dynamic Selection in orchestration?,"Don't run the full pipeline every time — select only the agents a request needs, scaling shape to complexity."
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Selection,Dynamic Selection: simple vs complex tasks?,Simple → a single agent. Complex → sequential or parallel agents depending on dependencies.
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Selection,What is the rule of thumb for adding an agent?,Use an agent only if it adds value; spinning up agents that don't contribute wastes tokens and latency.
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Partitioning,What is the problem with giving the same task to multiple agents?,Overlapping work and wasted tokens — duplicate findings with nothing extra learned.
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Partitioning,What is Partitioning Research?,"Splitting the problem into distinct, non-overlapping scopes so each agent owns a unique slice."
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Partitioning,What two properties must partitioned slices have together?,Non-overlapping (no duplication) and collectively complete (full coverage of the problem).
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Refinement,Is multi-agent orchestration one-shot?,"No. The coordinator evaluates, identifies gaps, and re-delegates, iterating until coverage meets a defined quality bar."
M2,D1,Multi-Agent Orchestration: Hub-and-Spoke,Refinement,What are the steps of the refinement loop?,Aggregate → evaluate coverage → identify gaps → re-delegate to close them → repeat until the quality bar is met → finalise.
